term,justice_id,justice,idealpt,idealpt_sd,median_idealpt,median_justice
2016,112,Alito,1.476,0.392,-0.362,Kennedy
2009,113,Sotomayor,-1.555,0.341,0.517,Kennedy
2010,113,Sotomayor,-1.614,0.317,0.581,Kennedy
2011,113,Sotomayor,-1.754,0.333,0.299,Kennedy
2012,113,Sotomayor,-2.142,0.363,0.24,Kennedy
2013,113,Sotomayor,-2.358,0.397,0.048,Kennedy
2014,113,Sotomayor,-2.535,0.436,-0.27,Kennedy
2015,113,Sotomayor,-2.607,0.479,-0.406,Kennedy
2016,113,Sotomayor,-2.645,0.53,-0.362,Kennedy
2010,114,Kagan,-1.404,0.333,0.581,Kennedy
2011,114,Kagan,-1.387,0.302,0.299,Kennedy
2012,114,Kagan,-1.631,0.302,0.24,Kennedy
2013,114,Kagan,-1.589,0.322,0.048,Kennedy
2014,114,Kagan,-1.641,0.322,-0.27,Kennedy
2015,114,Kagan,-1.518,0.346,-0.406,Kennedy
2016,114,Kagan,-1.532,0.397,-0.362,Kennedy
2016,115,Gorsuch,1.503,0.696,-0.362,Kennedy
